Item #,Quantity Required,Component Description
1,2,Car chasis
2,4,Motors
3,4,Wheels
4,4,Hex pillars
5,4,Motor Holders
6,4,Counter moment wheel
7,10,M3x16mm screws
8,4,M3x5mx4mm heatset inserts
9,1,2.54mm 8 Pin Male Header 
10,8,20cm Female-Female Jumper Wires
11,1,battery holder
12,1,arduino uno board
13,1,L298N module
14,1,HC06
15,1,on/off switch
